cluster	growth-rate	color
Hoyosella_altamirensis	Outgroup	Outgroup	black
M_abscessus_bolletii	M. abscessus-cholonae complex	Rapid	red
M_abscessus_massiliense	M. abscessus-cholonae complex	Rapid	red
M_abscessus	M. abscessus-cholonae complex	Rapid	red
M_immunogenum	M. abscessus-cholonae complex	Rapid	red
M_franklinii	M. abscessus-cholonae complex	Rapid	red
M_saopaulense	M. abscessus-cholonae complex	Rapid	red
M_salmoniphilum	M. abscessus-cholonae complex	Rapid	red
M_chelonae	M. abscessus-cholonae complex	Rapid	red
M_stephanolepidis	M. abscessus-cholonae complex	Rapid	red
M_smegmatis	M. fortuitum-smegmatis group	Rapid	orange
M_goodii	M. fortuitum-smegmatis group	Rapid	orange
M_wolinskyi	M. fortuitum-smegmatis group	Rapid	orange
M_mageritense	M. fortuitum-smegmatis group	Rapid	orange
M_brisbanense	M. fortuitum-smegmatis group	Rapid	orange
M_aquaticum	M. fortuitum-smegmatis group	Rapid	orange
M_houstonense	M. fortuitum-smegmatis group	Rapid	orange
M_setense	M. fortuitum-smegmatis group	Rapid	orange
M_peregrinum	M. fortuitum-smegmatis group	Rapid	orange
M_fortuitum_fortuitum	M. fortuitum-smegmatis group	Rapid	orange
M_senegalense	M. fortuitum-smegmatis group	Rapid	orange
M_conceptionense	M. fortuitum-smegmatis group	Rapid	orange
M_farcinogenes	M. fortuitum-smegmatis group	Rapid	orange
M_septicum	M. fortuitum-smegmatis group	Rapid	orange
M_neworleansense	M. fortuitum-smegmatis group	Rapid	orange
M_porcinum	M. fortuitum-smegmatis group	Rapid	orange
M_hodleri	Special	Rapid	pink
M_boenickei	Special	Rapid	pink
M_nonchromogenicus	M. terrae complex 	Slow	springgreen3
M_heraklionensis	M. terrae complex	Slow	springgreen3
M_longobardus	M. terrae complex	Slow	springgreen3
M_hiberniae	M. terrae complex	Slow	springgreen3
M_engbaekii	M. terrae complex	Slow	springgreen3
M_minnesotensis	M. terrae complex	Slow	springgreen3
M_arupensis	M. terrae complex	Slow	springgreen3
M_terrae	M. terrae complex	Slow	springgreen3
M_kumamotonensis	M. terrae complex	Slow	springgreen3
M_senuensis	M. terrae complex	Slow	springgreen3
M_algericus	M. terrae complex	Slow	springgreen3
